UniProt	Concentration in g/L
EF1G1_ARATH	0.0059343430053
A0A178WEL2_ARATH	0.0059302310574
ENL19_ARATH	0.0059164767808
CADH4_ARATH	0.0059105333337
CYP37_ARATH	0.0059039819760
A0A178UAU4_ARATH	0.0059011180409
6PGD3_ARATH	0.0058958029896
SAHH2_ARATH	0.0058902885801
A0A1P8BG25_ARATH	0.0058707235284
RS72_ARATH	0.0058607622641
Y2446_ARATH	0.0058601529402
NDUA9_ARATH	0.0058504123680
ARL8A_ARATH	0.0058412952864
TC753_ARATH	0.0058164476891
A0A178WJS5_ARATH	0.0058130217923
ACCD_ARATH	0.0057981325585
ZEP_ARATH	0.0057941149918
PGMC2_ARATH	0.0057896988836
PSA4A_ARATH	0.0057818785987
ALFP3_ARATH	0.0057700679840
PLGG1_ARATH	0.0057692681381
GRS16_ARATH	0.0057670691338
CP20A_ARATH	0.0057540921160
CCB1_ARATH	0.0057513008903
CARA_ARATH	0.0057351782142
NB5R2_ARATH	0.0057321974971
TOC33_ARATH	0.0057208848935
PSA1A_ARATH	0.0057194971665
METK2_ARATH	0.0057177134407
ODP22_ARATH	0.0057117717047
CALR1_ARATH	0.0057111778708
A0A1P8AN09_ARATH	0.0057088031525
ODPB2_ARATH	0.0056961546548
LTPG6_ARATH	0.0056918132092
CAMT4_ARATH	0.0056876721888
VATD_ARATH	0.0056868837647
KASC2_ARATH	0.0056825493851
HIS1B_ARATH	0.0056807771821
NDHK_ARATH	0.0056786119068
TBB5_ARATH	0.0056729074089
HRD11_ARATH	0.0056654412228
A0A654FUJ6_ARATH	0.0056540644057
SMD1B_ARATH	0.0056501466648
CYB5D_ARATH	0.0056415371878
